Date,Revenue,CloudCover,Temperature,WindSpeed,WeatherCode,WeatherCategory,KielWeek,holiday,Easter,id,Warengruppe,YearMonth,IsWeekend,IsNewYears,IsHalloween,DayOfYear,sin_1y,cos_1y,sin_2y,cos_2y,DayOfWeek,sin_1w,cos_1w
2013-07-01,1269.24910731998,6.0,17.8375,15.0,20.0,3.0,0,1.0,0.0,,,2013-07,0,0,0,182,0.01075130776352193,-0.9999422030204416,-0.021501372740813793,0.999768818762748,0,0.0,1.0
2013-07-02,1430.0083973267333,3.0,17.3125,10.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,183,-0.00645086419810515,-0.9999791929590823,0.012901459949419653,0.9999167727021953,1,0.7818314824680298,0.6234898018587336
2013-07-03,1124.2748941201457,7.0,21.075,6.0,61.0,4.0,0,1.0,0.0,,,2013-07,0,0,0,184,-0.023651127245231586,-0.9997202729664083,0.04728902277113235,0.9988812483600598,2,0.9749279121818236,-0.22252093395631434
2013-07-04,1184.3095670178782,7.0,18.85,7.0,20.0,3.0,0,1.0,0.0,,,2013-07,0,0,0,185,-0.04084439154329611,-0.9991655196610109,0.08162061540319052,0.9966634713589159,3,0.43388373911755823,-0.900968867902419
2013-07-05,1288.0230602120182,5.0,19.975,12.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,186,-0.05802556932878035,-0.9983150972033183,0.11585560376947847,0.9932660666081418,4,-0.433883739117558,-0.9009688679024191
2013-07-06,1540.5298975581647,0.0,18.9625,8.0,,1.0,0,1.0,0.0,,,2013-07,1,0,0,187,-0.07518957641475855,-0.9971692572470178,0.14995346813244534,0.9886930551971383,5,-0.9749279121818236,-0.2225209339563146
2013-07-07,1532.3729274131556,0.0,21.375,9.0,,1.0,0,1.0,0.0,,,2013-07,1,0,0,188,-0.09233133369539122,-0.9957283388645872,0.18387385105132759,0.9829498496360606,6,-0.7818314824680299,0.6234898018587334
2013-07-08,1203.9216946232323,0.0,22.725,10.0,5.0,1.0,0,1.0,0.0,,,2013-07,0,0,0,189,-0.10944576864891556,-0.993992768446958,0.21757660514828173,0.9760432474496961,0,0.0,1.0
2013-07-09,1385.1123293468459,0.0,23.275,8.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,190,-0.12652781683868314,-0.9919630595773397,0.2510218406258827,0.9679814231320734,1,0.7818314824680298,0.6234898018587336
2013-07-10,1384.7659389826279,2.0,19.6875,13.0,5.0,1.0,0,1.0,0.0,,,2013-07,0,0,0,191,-0.1435724234118113,-0.9896398128792412,0.2841699724797683,0.9587739184713191,2,0.9749279121818236,-0.22252093395631434
2013-07-11,1326.8616313035402,0.0,21.375,12.0,5.0,1.0,0,1.0,0.0,,,2013-07,0,0,0,192,-0.16057454459499376,-0.9870237158387383,0.31698176735052785,0.9484316312562208,3,0.43388373911755823,-0.900968867902419
2013-07-12,1354.717013539311,0.0,20.2875,7.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,193,-0.17752914918703497,-0.984115542601034,0.34941838995939767,0.936966802377855,4,-0.433883739117558,-0.9009688679024191
2013-07-13,1661.8613816349975,1.0,20.125,12.0,,1.0,0,1.0,0.0,,,2013-07,1,0,0,194,-0.19443122004766195,-0.9809161537413774,0.3814414490727919,0.9243930013415553,5,-0.9749279121818236,-0.2225209339563146
2013-07-14,1786.553765281086,5.0,17.6875,15.0,5.0,1.0,0,1.0,0.0,,,2013-07,1,0,0,195,-0.2112757555821793,-0.9774264960104055,0.4130130429412807,0.9107251102063585,6,-0.7818314824680299,0.6234898018587334
2013-07-15,1481.963405858342,6.0,18.7375,12.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,196,-0.2280577712215198,-0.9736476020539838,0.4440958041592176,0.8959793059709459,0,0.0,1.0
2013-07-16,1375.2489950082643,1.0,21.1875,10.0,,1.0,0,1.0,0.0,,,2013-07,0,0,0,197,-0.24477230089725957,-0.9695805901076308,0.47465294389193496,0.8801730414269229,1,0.7818314824680298,0.6234898018587336
