Datum,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,holiday,Easter,YearMonth
2013-07-01,1269.24910731998,6.0,17.8375,15.0,20.0,0,1,0,2013-07
2013-07-02,1430.0083973267333,3.0,17.3125,10.0,,0,1,0,2013-07
2013-07-03,1124.2748941201457,7.0,21.075,6.0,61.0,0,1,0,2013-07
2013-07-04,1184.3095670178782,7.0,18.85,7.0,20.0,0,1,0,2013-07
2013-07-05,1288.0230602120182,5.0,19.975,12.0,,0,1,0,2013-07
2013-07-06,1540.5298975581647,0.0,18.9625,8.0,,0,1,0,2013-07
2013-07-07,1532.3729274131556,0.0,21.375,9.0,,0,1,0,2013-07
2013-07-08,1203.9216946232323,0.0,22.725,10.0,5.0,0,1,0,2013-07
2013-07-09,1385.1123293468459,0.0,23.275,8.0,,0,1,0,2013-07
2013-07-10,1384.7659389826279,2.0,19.6875,13.0,5.0,0,1,0,2013-07
2013-07-11,1326.8616313035402,0.0,21.375,12.0,5.0,0,1,0,2013-07
2013-07-12,1354.717013539311,0.0,20.2875,7.0,,0,1,0,2013-07
2013-07-13,1661.8613816349975,1.0,20.125,12.0,,0,1,0,2013-07
2013-07-14,1786.553765281086,5.0,17.6875,15.0,5.0,0,1,0,2013-07
2013-07-15,1481.963405858342,6.0,18.7375,12.0,,0,1,0,2013-07
2013-07-16,1375.2489950082643,1.0,21.1875,10.0,,0,1,0,2013-07
2013-07-17,1477.670323685468,5.0,22.5125,8.0,,0,1,0,2013-07
2013-07-18,1389.7541924313455,1.0,23.25,11.0,5.0,0,1,0,2013-07
2013-07-19,1527.0763604307554,3.0,22.475,16.0,5.0,0,1,0,2013-07
2013-07-20,1788.2360322693241,0.0,23.1875,8.0,,0,1,0,2013-07
2013-07-21,1599.0157338099675,0.0,26.375,8.0,,0,1,0,2013-07
2013-07-22,1532.438770398039,0.0,26.1,9.0,,0,1,0,2013-07
2013-07-23,1511.4861602726614,0.0,24.95,12.0,,0,1,0,2013-07
2013-07-24,1579.1769061206978,3.0,24.075,11.0,,0,1,0,2013-07
2013-07-25,1498.84454154252,2.0,23.0875,9.0,,0,1,0,2013-07
2013-07-26,1602.303163851975,3.0,27.2625,6.0,,0,1,0,2013-07
2013-07-27,1758.881047587065,1.0,26.1625,10.0,,0,1,0,2013-07
2013-07-28,1755.8025904192964,4.0,24.8875,13.0,61.0,0,1,0,2013-07
2013-07-29,1581.050773432065,1.0,22.7875,10.0,,0,1,0,2013-07
2013-07-30,1600.8473293204288,5.0,21.075,13.0,21.0,0,1,0,2013-07
